## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=picard/CollectInsertSizeMetrics/01_FL58_i16.inserts.hist_graph.pdf HISTOGRAM_WIDTH=1000 INPUT=bowtie2/Filtering/01_FL58_i16.filt.srt.nodup.bam OUTPUT=picard/CollectInsertSizeMetrics/01_FL58_i16.inserts.hist_data.log STOP_AFTER=5000000 VERBOSITY=ERROR QUIET=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 30 15:57:38 KST 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
71	41	26	30	2000	98.843842	66.23332	2500000	FR	13	25	35	45	53	63	83	177	255	309	487			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
30	1
32	1
33	6
34	12
35	14561
36	24346
37	30293
38	28215
39	31082
40	48232
41	55307
42	54374
43	47678
44	46067
45	44937
46	42475
47	40178
48	37858
49	37136
50	42129
51	48250
52	47795
53	40689
54	36421
55	34650
56	32778
57	31140
58	29045
59	28105
60	28764
61	30026
62	30567
63	28534
64	26751
65	25550
66	24854
67	23394
68	21648
69	21182
70	20322
71	20923
72	21177
73	20787
74	19879
75	19155
76	18499
77	17278
78	16280
79	15569
80	15207
81	15251
82	15599
83	15355
84	14955
85	14472
86	13696
87	12867
88	12224
89	11454
90	11322
91	10979
92	11148
93	11171
94	10936
95	10755
96	10507
97	9732
98	9285
99	8864
100	8392
101	8297
102	8358
103	8315
104	8317
105	8416
106	8048
107	7797
108	7369
109	6885
110	6570
111	6345
112	6284
113	6401
114	6374
115	6410
116	6371
117	6163
118	6028
119	5542
120	5447
121	5271
122	5163
123	5021
124	5154
125	5232
126	5201
127	5136
128	5166
129	4745
130	4658
131	4627
132	4333
133	4127
134	4192
135	4504
136	4659
137	5158
138	5715
139	5249
140	4866
141	4934
142	4482
143	4014
144	3834
145	3824
146	3946
147	4550
148	5057
149	6286
150	8239
151	10452
152	9584
153	6461
154	4649
155	4447
156	4348
157	4764
158	5210
159	5447
160	5797
161	5700
162	5418
163	5212
164	5365
165	6185
166	6839
167	7587
168	7750
169	7172
170	6761
171	6472
172	6155
173	6228
174	6691
175	7594
176	8017
177	7745
178	7370
179	6888
180	6609
181	6562
182	6349
183	6211
184	6477
185	6692
186	7028
187	6908
188	6751
189	6602
190	6345
191	6284
192	5944
193	6179
194	6026
195	6211
196	6170
197	6127
198	5825
199	5751
200	5652
201	5415
202	5402
203	5457
204	5356
205	5248
206	5314
207	5138
208	5098
209	4702
210	4479
211	4387
212	4340
213	4379
214	4329
215	4220
216	4217
217	3980
218	3897
219	3639
220	3504
221	3571
222	3357
223	3262
224	3228
225	3259
226	3158
227	3056
228	2899
229	2794
230	2669
231	2581
232	2372
233	2442
234	2276
235	2385
236	2286
237	2151
238	2061
239	1998
240	1961
241	1798
242	1812
243	1800
244	1660
245	1618
246	1622
247	1555
248	1454
249	1449
250	1389
251	1342
252	1290
253	1257
254	1202
255	1188
256	1124
257	1090
258	1087
259	1074
260	1095
261	988
262	978
263	919
264	968
265	914
266	882
267	884
268	872
269	830
270	836
271	745
272	757
273	747
274	711
275	755
276	699
277	665
