## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=picard/CollectInsertSizeMetrics/09_FL328_i18.inserts.hist_graph.pdf HISTOGRAM_WIDTH=1000 INPUT=bowtie2/Filtering/09_FL328_i18.filt.srt.nodup.bam OUTPUT=picard/CollectInsertSizeMetrics/09_FL328_i18.inserts.hist_data.log STOP_AFTER=5000000 VERBOSITY=ERROR QUIET=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 30 15:59:40 KST 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
72	41	27	32	1999	104.170765	74.945385	2500001	FR	13	25	37	47	55	65	97	193	265	335	605			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
32	2
33	6
34	14
35	11522
36	21387
37	28577
38	27541
39	29939
40	44108
41	48671
42	47812
43	46122
44	46617
45	47032
46	46451
47	45095
48	42073
49	39935
50	41871
51	44110
52	42006
53	38192
54	35833
55	35558
56	34774
57	33304
58	31444
59	30029
60	29006
61	28399
62	28049
63	26204
64	25552
65	25096
66	24843
67	23804
68	22623
69	21492
70	20626
71	20371
72	19712
73	19144
74	18667
75	18518
76	17857
77	17146
78	16731
79	15791
80	15242
81	14901
82	14253
83	14202
84	13796
85	13570
86	13189
87	12588
88	12212
89	11641
90	11032
91	10789
92	10478
93	10248
94	10239
95	9789
96	9781
97	9315
98	9119
99	8496
100	8183
101	8052
102	7839
103	7518
104	7582
105	7262
106	7383
107	7185
108	6796
109	6418
110	6253
111	6024
112	5855
113	5749
114	5725
115	5719
116	5685
117	5542
118	5354
119	5138
120	4862
121	4710
122	4451
123	4466
124	4627
125	4544
126	4508
127	4473
128	4510
129	4244
130	4053
131	3899
132	3841
133	3565
134	3657
135	3681
136	3907
137	4630
138	5377
139	5009
140	4531
141	4555
142	4064
143	3310
144	3369
145	3330
146	3774
147	4219
148	5350
149	6541
150	8856
151	11485
152	10141
153	6649
154	4550
155	4452
156	4460
157	4732
158	5406
159	5927
160	6365
161	6284
162	5866
163	5443
164	5869
165	6059
166	7027
167	7734
168	8184
169	7791
170	7355
171	6986
172	6508
173	6346
174	6666
175	7372
176	7713
177	7982
178	7812
179	7458
180	7151
181	6953
182	6735
183	6881
184	6780
185	7223
186	7265
187	7426
188	7418
189	7352
190	7172
191	7177
192	6968
193	6643
194	6822
195	6541
196	6747
197	6591
198	6483
199	6327
200	6302
201	6145
202	6020
203	5955
204	5883
205	5786
206	5640
207	5412
208	5383
209	5061
210	4846
211	4895
212	4650
213	4553
214	4496
215	4351
216	4303
217	4173
218	4000
219	3829
