## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=picard/CollectInsertSizeMetrics/21_FL634_i27.inserts.hist_graph.pdf HISTOGRAM_WIDTH=1000 INPUT=bowtie2/Filtering/21_FL634_i27.filt.srt.nodup.bam OUTPUT=picard/CollectInsertSizeMetrics/21_FL634_i27.inserts.hist_data.log STOP_AFTER=5000000 VERBOSITY=ERROR QUIET=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 30 16:02:43 KST 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
52	42	9	32	2000	56.346108	22.223765	2500000	FR	5	7	11	15	19	23	27	33	51	75	161			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
32	2
33	6
34	26
35	23398
36	40183
37	51745
38	55834
39	64655
40	78083
41	89188
42	91871
43	87120
44	87249
45	88304
46	84979
47	79217
48	72428
49	72232
50	77247
51	84395
52	86158
53	76551
54	69087
55	65652
56	61939
57	55748
58	48869
59	44662
60	42835
61	43220
62	43116
63	40757
64	38398
65	36750
66	34921
67	32166
68	27959
69	24355
70	22465
71	21582
72	21424
73	20653
74	19390
75	18318
76	17384
77	16051
78	14200
79	12646
80	11582
81	11308
82	10872
83	10381
84	9796
85	9495
86	8673
87	8324
88	7216
89	6500
90	5955
91	5489
92	5351
93	5118
94	4883
95	4774
96	4438
97	4120
98	3784
99	3402
100	3167
101	2929
102	2820
103	2632
104	2506
105	2507
106	2435
107	2259
108	2097
109	1839
110	1708
111	1643
112	1555
113	1411
114	1415
115	1376
116	1318
117	1264
118	1150
119	1055
120	931
121	893
122	883
123	792
124	771
125	757
126	750
127	736
128	685
129	650
130	587
131	554
132	538
133	476
134	467
135	533
136	539
137	570
138	570
139	555
140	444
141	470
142	373
143	311
144	324
145	349
146	395
147	437
148	543
149	627
150	748
151	943
152	756
153	517
154	321
155	286
156	280
157	322
158	358
159	358
160	306
161	329
162	292
163	279
164	243
165	266
166	295
167	316
168	357
169	334
170	318
171	272
172	242
173	203
174	194
175	188
176	203
177	193
178	202
179	213
180	182
181	165
182	164
183	155
184	147
185	135
186	122
187	110
188	129
189	100
190	115
191	120
192	124
193	117
194	93
195	107
196	94
197	83
198	83
199	63
200	69
201	82
202	63
203	67
204	65
205	61
206	51
207	60
208	56
209	42
210	41
211	49
212	40
213	45
214	37
215	54
216	26
217	32
218	29
219	26
220	21
221	25
222	24
223	28
224	20
225	17
226	20
227	17
228	16
229	14
230	10
231	6
232	12
233	12
234	7
235	9
236	13
237	11
238	11
239	12
240	8
241	6
242	8
243	6
244	7
